date,incoming_energy,incoming_gas,incoming_water
01/08/2022,764.00,510.922,1.6
02/08/2022,779.00,488.708,2.1
03/08/2022,762.00,499.815,1.8
04/08/2022,739.00,499.815,2.5
05/08/2022,731.00,510.922,3
06/08/2022,611.00,0,2.7
07/08/2022,613.00,0,2.8
08/08/2022,755.00,510.922,2.8
09/08/2022,756.00,477.601,3.3
10/08/2022,757.00,444.28,3.4
11/08/2022,771.00,422.066,3.9
12/08/2022,757.00,388.745,3.1
13/08/2022,637.00,44.428,2.7
14/08/2022,634.00,22.214,2.6
15/08/2022,755.00,477.601,3.6
16/08/2022,751.00,488.708,3.3
17/08/2022,761.00,488.708,3.2
18/08/2022,743.00,510.922,3.2
19/08/2022,751.00,488.708,3.8
20/08/2022,593.00,0,2.8
21/08/2022,600.00,0,2.7
22/08/2022,715.00,555.35,2.9
23/08/2022,734.00,510.922,3.1
24/08/2022,745.00,488.708,4.5
25/08/2022,732.00,510.922,3.4
26/08/2022,720.00,499.815,3.1
27/08/2022,594.00,0,2.8
28/08/2022,595.00,0,3.1
29/08/2022,689.00,544.243,3.1
30/08/2022,748.00,533.136,4.5
31/08/2022,739.00,66.642,3.7
01/09/2022,745.00,544.243,3.6
02/09/2022,739.00,533.136,3.4
03/09/2022,589.00,0,2.7
04/09/2022,599.00,0,2.8
05/09/2022,750.00,566.457,3.4
06/09/2022,762.00,566.457,4
07/09/2022,756.00,555.35,5
08/09/2022,753.00,588.671,3.7
09/09/2022,725.00,555.35,8.7
10/09/2022,609.00,0,29.7
11/09/2022,609.00,0,29.7
12/09/2022,754.00,544.243,21.1
13/09/2022,763.00,566.457,3.6
14/09/2022,769.00,555.35,3.9
15/09/2022,788.00,566.457,4.5
16/09/2022,777.00,566.457,3.5
17/09/2022,657.00,0,2.9
18/09/2022,661.00,0,3
19/09/2022,752.00,633.099,2.9
20/09/2022,839.00,577.564,5
21/09/2022,844.00,577.564,3.9
22/09/2022,799.00,566.457,3.5
23/09/2022,800.00,566.457,3.3
24/09/2022,646.00,0,3.2
25/09/2022,638.00,0,3.2
26/09/2022,819.00,644.206,4.1
27/09/2022,842.00,1144.021,4.6
28/09/2022,822.00,1388.375,4.1
29/09/2022,835.00,1399.482,4.3
30/09/2022,833.00,1388.375,4
01/10/2022,647.00,0,2.8
02/10/2022,643.00,0,2.9
03/10/2022,847.00,821.918,6.4
04/10/2022,872.00,610.885,4.6
05/10/2022,877.00,344.317,4.7
06/10/2022,863.00,899.667,4.1
07/10/2022,838.00,710.848,3.8
08/10/2022,626.00,0,2.5
09/10/2022,626.00,0,2.5
10/10/2022,820.00,1210.663,3.4
11/10/2022,829.00,1421.696,3.7
12/10/2022,857.00,1177.342,3.6
13/10/2022,858.00,955.202,3.9
14/10/2022,838.00,1210.663,3.7
15/10/2022,632.00,0,2.6
16/10/2022,629.00,0,2.5
17/10/2022,836.00,699.741,3.5
18/10/2022,867.00,1110.7,4.4
19/10/2022,845.00,744.169,4.4
20/10/2022,860.00,921.881,3.6
21/10/2022,857.00,710.848,3
22/10/2022,704.00,0,2.3
23/10/2022,710.00,0,2.3
24/10/2022,857.00,1255.091,3.1
25/10/2022,881.00,1021.844,3.9
26/10/2022,891.00,522.029,3.5
27/10/2022,900.00,499.815,3.7
28/10/2022,858.00,522.029,3.2
29/10/2022,757.00,0,2.4
30/10/2022,763.00,0,2.6
31/10/2022,931.00,1199.556,3.6
01/11/2022,894.00,1554.98,4.3
02/11/2022,871.00,1477.231,3.2
03/11/2022,880.00,1588.301,3.6
04/11/2022,836.00,1577.194,2.9
05/11/2022,694.00,0,2.6
06/11/2022,698.00,0,2.6
07/11/2022,858.00,1554.98,3.8
08/11/2022,834.00,1510.552,4.8
09/11/2022,848.00,1554.98,4
10/11/2022,843.00,1421.696,3
11/11/2022,822.00,1243.984,2.8
12/11/2022,667.00,0,2.5
13/11/2022,652.00,0,2.5
14/11/2022,813.00,1510.552,3.3
15/11/2022,856.00,1510.552,4
16/11/2022,854.00,1599.408,3.9
17/11/2022,859.00,1621.622,3.7
18/11/2022,838.00,1654.943,3.1
19/11/2022,676.00,0,2.2
20/11/2022,665.00,0,2.4
21/11/2022,840.00,1954.832,3.5
22/11/2022,813.00,1921.511,3.6
23/11/2022,811.00,1710.478,4.1
24/11/2022,829.00,1643.836,3.7
25/11/2022,756.00,1610.515,2.7
26/11/2022,590.00,0,2.2
27/11/2022,592.00,0,2.1
28/11/2022,781.00,1943.725,3.6
29/11/2022,834.00,2065.902,3.8
30/11/2022,877.00,1954.832,2.9
01/12/2022,862.00,2077.009,3.3
02/12/2022,832.00,2121.437,2.9
03/12/2022,689.00,0,1.4
04/12/2022,694.00,0,1.6
05/12/2022,867.00,2521.289,3.2
06/12/2022,897.00,2276.935,3.7
07/12/2022,900.00,2321.363,3.3
08/12/2022,906.00,2410.219,2.5
09/12/2022,879.00,2487.968,2.4
10/12/2022,763.00,1832.655,1.9
11/12/2022,747.00,466.494,1.9
12/12/2022,881.00,3365.421,2.6
13/12/2022,902.00,2843.392,3.8
14/12/2022,929.00,2765.643,3.1
15/12/2022,922.00,2810.071,3
16/12/2022,862.00,2665.68,3.5
17/12/2022,736.00,488.708,4.9
18/12/2022,711.00,488.708,4.6
19/12/2022,832.00,2376.898,4.7
20/12/2022,828.00,2032.581,4.2
21/12/2022,812.00,2054.795,4
22/12/2022,783.00,1810.441,4.7
23/12/2022,757.00,1421.696,3.6
24/12/2022,618.00,0,3.7
25/12/2022,614.00,0,3.8
26/12/2022,640.00,0,3.9
27/12/2022,659.00,522.029,4
28/12/2022,646.00,510.922,3.9
29/12/2022,647.00,610.885,4
30/12/2022,670.00,766.383,3.8
31/12/2022,679.00,1710.478,3.9
01/01/2023,694.00,1832.655,3.6
02/01/2023,746.00,2232.507,3.7
03/01/2023,813.00,2077.009,4.1
04/01/2023,824.00,1721.585,3.7
05/01/2023,820.00,1643.836,3.7
06/01/2023,793.00,1721.585,3.1
07/01/2023,659.00,0,3.2
08/01/2023,660.00,0,3.4
09/01/2023,853.00,2410.219,4.5
10/01/2023,873.00,2088.116,4.5
11/01/2023,895.00,1943.725,3.5
12/01/2023,867.00,1766.013,3.9
13/01/2023,848.00,2010.367,3.1
14/01/2023,669.00,0,3.2
15/01/2023,688.00,0,3.4
16/01/2023,856.00,2699.001,3.3
17/01/2023,883.00,2798.964,2.9
18/01/2023,868.00,2665.68,3
19/01/2023,877.00,2465.754,8.2
20/01/2023,840.00,2421.326,7.4
21/01/2023,689.00,0,1.2
22/01/2023,700.00,1521.659,1.1
23/01/2023,906.00,3043.318,2.3
24/01/2023,968.00,2754.536,2.4
25/01/2023,924.00,2810.071,2.2
26/01/2023,878.00,2587.931,1.9
27/01/2023,867.00,2243.614,1.6
28/01/2023,710.00,0,1
29/01/2023,683.00,0,1
30/01/2023,877.00,2443.54,2.8
31/01/2023,909.00,2265.828,2.6
01/02/2023,914.00,2221.4,2.2
02/02/2023,871.00,1943.725,2.3
03/02/2023,875.00,1788.227,2.2
04/02/2023,613.00,0,1
05/02/2023,626.00,0,1.1
06/02/2023,871.00,2543.503,2.3
07/02/2023,889.00,2399.112,2.5
08/02/2023,875.00,2376.898,1.7
09/02/2023,856.00,2176.972,2.6
10/02/2023,854.00,2132.544,3.1
11/02/2023,628.00,0,1.8
12/02/2023,624.00,0,1.6
13/02/2023,848.00,2365.791,3
14/02/2023,825.00,2110.33,2.7
15/02/2023,835.00,1932.618,3.1
16/02/2023,806.00,1688.264,2.9
17/02/2023,830.00,1532.766,2.7
18/02/2023,614.00,0,1.4
19/02/2023,609.00,0,3.1
20/02/2023,862.00,2354.684,4.8
21/02/2023,841.00,1854.869,4.3
22/02/2023,853.00,1843.762,3.6
23/02/2023,869.00,1988.153,4.2
24/02/2023,835.00,2176.972,3.3
25/02/2023,633.00,0,0.3
26/02/2023,639.00,399.852,0.3
27/02/2023,861.00,2843.392,2.9
28/02/2023,901.00,2332.47,4.3
01/03/2023,847.00,2232.507,3.4
02/03/2023,811.00,2077.009,2.1
03/03/2023,806.00,2099.223,3
04/03/2023,601.00,0,2.3
05/03/2023,619.00,322.103,2.1
06/03/2023,807.00,2665.68,2.8
07/03/2023,812.00,2388.005,3.7
08/03/2023,835.00,2465.754,3.1
09/03/2023,837.00,2276.935,3.8
10/03/2023,821.00,2110.33,2.5
11/03/2023,671.00,0,2.3
12/03/2023,621.00,0,2.3
13/03/2023,820.00,2587.931,3.6
14/03/2023,801.00,2265.828,4.5
15/03/2023,828.00,2210.293,3.4
16/03/2023,802.00,2054.795,3.2
17/03/2023,782.00,1554.98,2.9
18/03/2023,576.00,0,1.8
19/03/2023,570.00,0,1.1
20/03/2023,806.00,2077.009,2.3
21/03/2023,825.00,1788.227,2.3
22/03/2023,796.00,1721.585,2.1
23/03/2023,801.00,1654.943,2.6
24/03/2023,789.00,1654.943,1.9
25/03/2023,601.00,0,1.7
26/03/2023,593.00,0,1.8
27/03/2023,830.00,2132.544,3.4
28/03/2023,881.00,1188.449,2.8
29/03/2023,879.00,1977.046,2.5
30/03/2023,793.00,1766.013,2.2
31/03/2023,747.00,1821.548,1.8
01/04/2023,546.00,0,1.3
02/04/2023,545.00,0,1.3
03/04/2023,734.00,2143.651,1.9
04/04/2023,768.00,1877.083,2.4
05/04/2023,744.00,1799.334,1.8
06/04/2023,742.00,1588.301,1.8
07/04/2023,632.00,388.745,1.2
08/04/2023,585.00,0,1.3
09/04/2023,574.00,0,1.2
10/04/2023,634.00,422.066,1.3
11/04/2023,760.00,2132.544,3.8
12/04/2023,754.00,2065.902,2.9
13/04/2023,767.00,1888.19,2.9
14/04/2023,744.00,1877.083,3.2
15/04/2023,577.00,0,3.3
16/04/2023,572.00,0,2.4
17/04/2023,760.00,1666.05,3.3
18/04/2023,776.00,1666.05,3.1
19/04/2023,805.00,1343.947,4.2
20/04/2023,754.00,1355.054,3.6
21/04/2023,748.00,1621.622,2.5
22/04/2023,660.00,1299.519,1.9
23/04/2023,589.00,0,1.7
24/04/2023,811.00,1721.585,3.1
25/04/2023,827.00,1699.371,3.4
26/04/2023,796.00,1699.371,3
27/04/2023,784.00,1155.128,4.3
28/04/2023,756.00,810.811,4.2
29/04/2023,564.00,0,2
30/04/2023,563.00,688.634,1.7
01/05/2023,665.00,866.346,1.8
02/05/2023,784.00,644.206,3.4
03/05/2023,765.00,0,4.3
04/05/2023,769.00,0,3.5
05/05/2023,751.00,0,3.4
06/05/2023,563.00,0,3.8
07/05/2023,560.00,0,2.7
08/05/2023,641.00,0,3.2
09/05/2023,749.00,0,4.4
10/05/2023,744.00,0,4.6
11/05/2023,755.00,544.243,4.2
12/05/2023,701.00,1343.947,4.4
13/05/2023,521.00,0,3.1
14/05/2023,524.00,0,3.1
15/05/2023,698.00,821.918,4.1
16/05/2023,691.00,1699.371,4.3
17/05/2023,673.00,1310.626,3.2
18/05/2023,677.00,0,3.9
19/05/2023,652.00,344.317,3.5
20/05/2023,507.00,0,2.6
21/05/2023,504.00,0,2.6
22/05/2023,650.00,866.346,3.4
23/05/2023,660.00,855.239,3.1
24/05/2023,658.00,833.025,3.6
25/05/2023,681.00,1288.412,3.2
26/05/2023,671.00,1388.375,3.3
27/05/2023,508.00,0,2
28/05/2023,556.00,0,2.4
29/05/2023,584.00,1388.375,2.5
30/05/2023,681.00,1377.268,3.3
31/05/2023,662.00,1366.161,3.1
01/06/2023,647.00,1366.161,3.6
02/06/2023,640.00,1355.054,4
03/06/2023,507.00,0,3.6
04/06/2023,508.00,0,3.7
05/06/2023,638.00,1355.054,3.8
06/06/2023,648.00,1310.626,3.1
07/06/2023,646.00,1266.198,3.2
08/06/2023,647.00,1243.984,3.5
09/06/2023,670.00,1277.305,2.4
10/06/2023,503.00,0,2.3
11/06/2023,497.00,0,2.1
12/06/2023,650.00,1266.198,3.5
13/06/2023,654.00,1155.128,1.8
14/06/2023,660.00,1177.342,2.8
15/06/2023,687.00,1177.342,3.4
16/06/2023,706.00,610.885,3
17/06/2023,554.00,0,2.2
18/06/2023,524.00,0,2.5
19/06/2023,688.00,199.926,4.1
20/06/2023,655.00,199.926,3.3
21/06/2023,662.00,199.926,3.1
22/06/2023,685.00,44.428,3.4
23/06/2023,644.00,0,3.2
24/06/2023,518.00,0,2.5
25/06/2023,521.00,0,2.6
26/06/2023,655.00,0,3.7
27/06/2023,661.00,0,3.1
28/06/2023,653.00,0,3.4
29/06/2023,656.00,0,2.9
30/06/2023,628.00,0,2.5
01/07/2023,516.00,0,2.3
02/07/2023,540.00,0,2.5
03/07/2023,641.00,133.284,3.4
04/07/2023,655.00,122.177,3.3
05/07/2023,659.00,177.712,2.4
06/07/2023,655.00,177.712,2.8
07/07/2023,649.00,166.605,3.2
08/07/2023,522.00,0,2.3
09/07/2023,518.00,0,2.4
10/07/2023,663.00,177.712,3
11/07/2023,662.00,177.712,2.3
12/07/2023,645.00,177.712,2.7
13/07/2023,659.00,188.819,2.4
14/07/2023,634.00,177.712,2.4
15/07/2023,516.00,0,2.3
16/07/2023,516.00,0,2.4
17/07/2023,714.00,211.033,2.8
18/07/2023,653.00,188.819,4.2
19/07/2023,645.00,188.819,5.7
20/07/2023,649.00,199.926,3.5
21/07/2023,642.00,199.926,2.4
22/07/2023,506.00,0,2.1
23/07/2023,512.00,0,2.2
24/07/2023,675.00,211.033,2.8
25/07/2023,662.00,211.033,2.8
26/07/2023,681.00,199.926,2.3
27/07/2023,653.00,188.819,2.7
28/07/2023,665.00,177.712,3.4
29/07/2023,507.00,0,2.3
30/07/2023,501.00,0,2.4
31/07/2023,637.00,211.033,2.7
,,,
,,,
