date,incoming_energy,solar_production,incoming_gas,gshp_production,incoming_water,rain_harvesting
01/08/2022,1401,531.659,222.14,20,2.2,0.179
02/08/2022,1574,344.877,177.71,10,2.2,0
03/08/2022,1717,207.003,211.03,10,3.9,0
04/08/2022,1478,424.72,233.25,20,3.7,0
05/08/2022,1214,514.798,277.68,20,3.7,0
06/08/2022,259,601.62,0.00,0,0.0,0
07/08/2022,270,589.37,0.00,0,0.0,0
08/08/2022,1315,583.01,0.00,20,2.7,0.223
09/08/2022,1345,570.38,155.50,10,3.0,0.216
10/08/2022,1394,571.75,244.35,10,4.3,0
11/08/2022,1458,558.86,155.50,0,3.1,0.302
12/08/2022,1617,546.74,266.57,0,3.7,0
13/08/2022,291,536.66,0.00,0,0.3,0
14/08/2022,292,453.75,0.00,0,0.0,0
15/08/2022,1645,315.77,177.71,0,3.2,0.228
16/08/2022,1696,152.94,111.07,0,3.3,0.263
17/08/2022,1701,214.86,222.14,10,4.5,0.185
18/08/2022,1544,442.54,299.89,30,4.5,0
19/08/2022,1558,375.68,144.39,20,4.1,0
20/08/2022,301,495.84,0.00,0,0.3,0.367
21/08/2022,326,357.72,0.00,0,0.0,0
22/08/2022,1684,142.53,166.61,30,2.6,0.227
23/08/2022,1593,288.00,88.86,20,3.2,0
24/08/2022,1508,427.68,188.82,20,2.6,0.202
25/08/2022,1471,219.42,188.82,20,2.5,0
26/08/2022,1185,521.33,155.50,30,2.2,0
27/08/2022,311,362.91,0.00,0,0.0,0
28/08/2022,310,368.29,0.00,0,0.0,0
29/08/2022,1146,366.83,0.00,30,0.0,0
30/08/2022,1432,384.26,177.71,20,2.9,0
31/08/2022,1339,359.57,155.50,20,2.5,0
01/09/2022,1531.30,197.82,99.96,30,2.8,0.283
02/09/2022,1434.65,291.44,199.93,20,3.4,0.224
03/09/2022,348.69,263.86,0.00,0,0.0,0
04/09/2022,333.83,258.30,0.00,0,0.0,0
05/09/2022,1617.65,210.32,166.61,20,2.6,0.15
06/09/2022,1568.28,199.98,199.93,30,3.9,0.311
07/09/2022,1400.91,276.58,211.03,20,3.9,0
08/09/2022,1457.92,209.34,177.71,20,2.9,0.159
09/09/2022,1469.28,193.58,255.46,20,3.2,0.263
10/09/2022,335.94,272.73,0.00,0,0.0,0
11/09/2022,281.40,420.29,0.00,0,0.0,0
12/09/2022,1524.47,284.99,244.35,30,2.9,0.616
13/09/2022,1506.26,84.75,277.68,10,3.2,0.196
14/09/2022,1517.22,274.79,244.35,20,5.2,0.181
15/09/2022,1349.50,284.63,233.25,20,4.4,0.246
16/09/2022,1194.23,382.19,211.03,10,3.8,0.191
17/09/2022,362.09,399.36,0.00,0,0.0,0
18/09/2022,396.30,361.90,0.00,0,0.0,0
19/09/2022,1035.71,262.83,0.00,30,0.0,0
20/09/2022,1368.48,336.38,410.96,20,6.9,0.16
21/09/2022,1363.35,425.05,377.64,10,6.1,2.668
