Date,Incoming Grid electricity (kWh),Incoming mains Gas (kWh),Incoming Mains Water  (m3)
01/08/2022,329.30,0.00,0.050
02/08/2022,328.40,0.00,0.037
03/08/2022,350.30,0.00,0.652
04/08/2022,290.70,0.00,0.031
05/08/2022,279.80,0.00,0.034
06/08/2022,242.20,0.00,0.141
07/08/2022,203.10,0.00,0.162
08/08/2022,217.90,0.00,0.060
09/08/2022,219.40,2.78,0.073
10/08/2022,274.00,0.00,0.066
11/08/2022,298.60,0.00,0.572
12/08/2022,304.80,0.00,0.560
13/08/2022,202.90,0.00,0.025
14/08/2022,202.30,0.00,0.034
15/08/2022,303.30,0.00,0.774
16/08/2022,296.70,0.00,0.844
17/08/2022,305.30,0.00,0.840
18/08/2022,282.30,0.00,0.356
19/08/2022,281.60,0.00,0.276
20/08/2022,217.30,0.00,0.035
21/08/2022,201.60,0.00,0.032
22/08/2022,262.90,0.00,0.196
23/08/2022,271.90,0.00,0.197
24/08/2022,259.60,0.00,0.250
25/08/2022,261.40,0.00,0.168
26/08/2022,258.60,0.00,0.216
27/08/2022,198.30,0.00,0.019
28/08/2022,197.50,0.00,0.019
29/08/2022,257.50,0.00,0.059
30/08/2022,281.70,0.00,0.190
31/08/2022,280.50,0.00,0.212
01/09/2022,282.80,0.00,0.143
02/09/2022,249.80,0.00,0.227
03/09/2022,166.20,0.00,0.013
04/09/2022,165.30,0.00,0.013
05/09/2022,288.80,0.00,0.200
06/09/2022,349.30,0.00,0.448
07/09/2022,327.30,0.00,0.265
08/09/2022,327.30,0.00,0.290
09/09/2022,330.30,0.00,0.229
10/09/2022,294.40,0.00,0.017
11/09/2022,291.00,0.00,0.018
12/09/2022,334.60,0.00,0.247
13/09/2022,350.00,0.00,0.332
14/09/2022,385.50,0.00,1.152
15/09/2022,370.00,0.00,0.440
16/09/2022,355.00,0.00,0.225
17/09/2022,316.00,0.00,0.026
18/09/2022,314.40,0.00,0.023
19/09/2022,340.40,0.00,0.021
20/09/2022,385.80,0.00,0.818
21/09/2022,402.40,0.00,0.883
22/09/2022,379.90,0.00,0.849
23/09/2022,400.20,0.00,0.750
24/09/2022,331.90,0.00,0.862
25/09/2022,302.80,0.00,0.026
26/09/2022,408.20,0.00,1.967
27/09/2022,414.40,53.20,1.808
28/09/2022,417.40,80.86,1.724
29/09/2022,406.90,72.86,1.470
30/09/2022,408.60,64.09,1.644
01/10/2022,329.80,18.10,0.496
02/10/2022,317.50,34.21,0.023
03/10/2022,407.90,38.32,2.842
04/10/2022,389.10,29.77,2.643
05/10/2022,400.50,8.66,1.589
06/10/2022,394.50,56.31,1.542
07/10/2022,400.60,30.66,1.264
08/10/2022,283.40,43.43,0.025
