date,incoming_energy,solar_production,incoming_gas
01/08/2022,1115.00,592.658,66.642,
02/08/2022,1374.00,375.702,77.749,
03/08/2022,1434.00,231.114,77.749,
04/08/2022,1112.00,506.931,77.749,
05/08/2022,1033.00,608.885,166.605,
06/08/2022,824.00,690.529,66.642,
07/08/2022,878.00,671.906,77.749,
08/08/2022,1094.00,665.434,66.642,
09/08/2022,1096.00,658.926,77.749,
10/08/2022,1101.00,653.831,77.749,
11/08/2022,1232.00,638.627,77.749,
12/08/2022,1243.00,624.81,66.642,
13/08/2022,1043.00,613.862,77.749,
14/08/2022,1143.00,531.206,66.642,
15/08/2022,1502.00,371.108,77.749,
16/08/2022,1665.00,165.565,77.749,
17/08/2022,1473.00,239.176,77.749,
18/08/2022,1563.00,495.178,77.749,
19/08/2022,1522.00,421.506,88.856,
20/08/2022,1094.00,548.783,66.642,
21/08/2022,1054.00,382.021,77.749,
22/08/2022,1433.00,166.01,77.749,
23/08/2022,1353.00,329.536,77.749,
24/08/2022,1265.00,450.371,77.749,
25/08/2022,1421.00,232.623,77.749,
26/08/2022,1016.00,599.015,133.284,
27/08/2022,1001.00,424.282,66.642,
28/08/2022,953.00,436.18,77.749,
29/08/2022,1110.00,436.026,66.642,
30/08/2022,1173.00,449.351,144.391,
31/08/2022,1235.00,429.514,77.749,
01/09/2022,1415.00,227.583,77.749,
02/09/2022,1279.00,313.379,66.642,
03/09/2022,941.00,308.752,77.749,
04/09/2022,996.00,292.416,66.642,
05/09/2022,1253.00,252.138,77.749,
06/09/2022,1250.00,226.585,66.642,
07/09/2022,1169.00,328.789,88.856,
08/09/2022,1218.00,252.455,77.749,
09/09/2022,1138.00,235.182,77.749,
10/09/2022,903.00,328.733,77.749,
11/09/2022,801.00,483.919,66.642,
12/09/2022,1227.00,333.673,77.749,
13/09/2022,1386.00,98.48,88.856,
14/09/2022,1208.00,283.688,77.749,
15/09/2022,1181.00,317.811,244.354,
16/09/2022,1066.00,446.366,344.317,
17/09/2022,789.00,456.922,188.819,
18/09/2022,827.00,429.584,144.391,
19/09/2022,1031.00,317.119,299.889,
20/09/2022,1204.00,393.578,199.926,
21/09/2022,1112.00,486.359,199.926,
22/09/2022,1257.00,381.353,211.033,
23/09/2022,1235.00,261.95,77.749,
24/09/2022,903.00,405.592,211.033,
25/09/2022,882.00,406.973,188.819,
26/09/2022,1611.00,249.916,410.959,
27/09/2022,1721.00,188.955,710.848,
28/09/2022,1336.00,309.622,577.564,
29/09/2022,1382.00,310.576,655.313,
30/09/2022,1562.00,121.798,633.099,
01/10/2022,989,335.183,77.749,
02/10/2022,1006,300.155,244.354,
03/10/2022,1621,292.955,244.354,
04/10/2022,1816,125.623,88.856,
05/10/2022,1808,123.584,199.926,
06/10/2022,1644,338.933,266.568,
07/10/2022,1557,261.546,188.819,
08/10/2022,968,400.451,233.247,
09/10/2022,1029,366.277,77.749,
10/10/2022,1539,368.616,577.564,
11/10/2022,1584,367.739,610.885,
12/10/2022,1522,271.016,388.745,
13/10/2022,1684,214.17,344.317,
14/10/2022,1630,84.288,111.07,
15/10/2022,1112,195.427,333.21,
16/10/2022,1156,164.104,188.819,
17/10/2022,1601,300.75,88.856,
18/10/2022,1752,220.544,355.424,
19/10/2022,1572,209.186,99.963,
20/10/2022,1796,170.218,410.959,
21/10/2022,1903,82.617,133.284,
22/10/2022,1469,155.708,499.815,
23/10/2022,1537,176.039,655.313,
24/10/2022,2063,191.265,921.881,
25/10/2022,2093,192.613,610.885,
26/10/2022,1851,127.42,111.07,
27/10/2022,2030,190.004,133.284,
28/10/2022,1833,214.332,444.28,
29/10/2022,1710,105.73,122.177,
30/10/2022,1620,101.606,111.07,
31/10/2022,2009,113.115,810.811,
01/11/2022,2239,151.654,1632.729,
02/11/2022,2023,142.222,1577.194,
03/11/2022,2311,92.511,1699.371,
04/11/2022,1937,238.08,1921.511,
05/11/2022,1768,37.408,1477.231,
06/11/2022,1801,77.406,1399.482,
07/11/2022,1943,40.698,1199.556,
08/11/2022,1920,138.433,1443.91,
09/11/2022,1690,198.522,1310.626,
10/11/2022,1926,66.941,1088.486,
11/11/2022,1764,115.575,588.671,
12/11/2022,1536,168.901,522.029,
13/11/2022,1424,174.134,333.21,
14/11/2022,1985,66.488,777.49,
15/11/2022,2063,83.818,1577.194,
16/11/2022,1878,75.567,1710.478,
17/11/2022,1848,180.744,1843.762,
18/11/2022,1860,139.3,1821.548,
19/11/2022,1633,177.4,1854.869,
20/11/2022,1507,161.489,1632.729,
21/11/2022,2100,22.158,2176.972,
22/11/2022,2218,135.764,2521.289,
23/11/2022,2001,147.672,2176.972,
24/11/2022,2163,63.669,2154.758,
25/11/2022,1982,162.719,2110.33,
26/11/2022,1820,61.742,1921.511,
27/11/2022,1890,15.462,1766.013,
28/11/2022,2203,109.126,2432.433,
29/11/2022,2189,3.881,3098.853,
30/11/2022,2039,23.203,2987.783,
01/12/2022,2170,26.937,3820.808,
02/12/2022,2108,41.806,4176.232,
03/12/2022,1873,31.991,3865.236,
04/12/2022,1984,10.437,4031.841,
05/12/2022,2458,32.912,3898.557,
06/12/2022,2347,64.683,3909.664,
07/12/2022,2173,125.714,4165.125,
08/12/2022,2321,147.827,4676.047,
09/12/2022,2105,95.805,4642.726,
10/12/2022,1883,137.039,4209.553,
11/12/2022,1811,7.2,4387.265,
12/12/2022,2232,19.431,5009.257,
13/12/2022,2337,53.662,4742.689,
14/12/2022,2190,76.221,4753.796,
15/12/2022,2043,139.016,4709.368,
16/12/2022,1986,134.168,4298.409,
17/12/2022,1627,92.735,3865.236,
18/12/2022,1737,2.347,3354.314,
19/12/2022,1844,2.272,2465.754,
20/12/2022,1768,105.942,2754.536,
21/12/2022,1819,39.283,2676.787,
22/12/2022,1748,11.989,2510.182,
23/12/2022,1577,64.677,2310.256,
24/12/2022,1138,34.92,1177.342,
25/12/2022,893,42.035,111.07,
26/12/2022,825,112.556,111.07,
27/12/2022,851,73.705,122.177,
28/12/2022,915,7.236,122.177,
29/12/2022,832,89.809,122.177,
30/12/2022,899,20.882,122.177,
31/12/2022,1612,3.125,3054.425,
01/01/2023,1541,35.144,2887.82,
02/01/2023,1478,135.181,3320.993,
03/01/2023,1973,5.271,2854.499,
04/01/2023,2033,34.951,2699.001,
05/01/2023,2131,21.525,2887.82,
06/01/2023,2273,68.104,3098.853,
07/01/2023,2132,23.521,3054.425,
08/01/2023,2169,30.117,3487.598,
09/01/2023,2246,100.797,3631.989,
10/01/2023,2473,6.565,3043.318,
11/01/2023,2289,80.315,3354.314,
12/01/2023,2537,3.136,3198.816,
13/01/2023,2350,135.909,3520.919,
14/01/2023,2215,28.753,3243.244,
15/01/2023,2177,122.481,3787.487,
16/01/2023,2346,129.35,4398.372,
17/01/2023,2369,55.802,4998.15,
18/01/2023,2346,135.048,4587.191,
19/01/2023,2385,160.304,4409.479,
20/01/2023,2146,189.943,4276.195,
21/01/2023,1815,174.272,4065.162,
22/01/2023,1968,101.571,4154.018,
23/01/2023,2067,164.563,4442.8,
24/01/2023,2149,66.29,4209.553,
25/01/2023,2177,20.015,4242.874,
